bank,no,komponen_otomatis,kalimat_tanya_yang_dinilai,komponen_koreksi_manual
ginjal-2019,8,Pharmacology,apa tatalaksana untuk pasien ini?,
ginjal-2019,9,Recall,definisi mati di as menggunakan ?,
ginjal-2019,10,Recall,penyempitan terkecil terjadi ketika?,
ginjal-2019,11,Recall,kelainan perkembangan ini disebut?,
ginjal-2019,12,Recall,"membaca doa bismillah, allahumma inni a udzubika minal khubutsi wal khabaits adalah saat seseorang ?",
ginjal-2019,13,Recall,"berikut ini, apa nama lubang muara dari sekresi glandula prostat ke urethra pars prostatica?",
ginjal-2019,14,Diagnostics,"setelah dilakukan pemeriksaan fisik dan pemeriksaan penunjang, dokter menduga adanya sebuah kista pada daerah korteks ginjal. kelainan ini disebut?",
ginjal-2019,15,Diagnostics,apa bakteri yang paling mungkin merupakan etiologi pada kasus tersebut?,
ginjal-2019,16,Recall,"pada sediaan itu terlihat korpus renalis, apa nama area yang ditandai bulatan berbentuk oval pada sediaan itu?",
ginjal-2019,17,Recall,pada pembesaran prostat dapat terjadi?,
ginjal-2019,18,Diagnostics,apa kemungkinan kelainan yang dijumpai pada anak tersebut?,
ginjal-2019,19,Diagnostics,apa diagnosis yang paling mungkin untuk pasien ini?,
ginjal-2019,20,Diagnostics,pemeriksaan lanjutan pertama yang sangat bermanfaat pada kasus di atas adalah ?,
ginjal-2019,21,Diagnostics,diagnosis pada laki-laki tersebut adalah ?,
ginjal-2019,22,Diagnostics,mana interpretasi hasil laboratorium yang paling tepat untuk kasus di atas?,
ginjal-2019,23,Pharmacology,apa efek samping dari obat tersebut ?,
ginjal-2019,24,Diagnostics,mana pernyataan yang sesuai dengan kelainan ini?,
ginjal-2019,25,Recall,apa nama persyarafan yang memberikan rasa nyeri saat bak?,
ginjal-2019,26,Diagnostics,apa komplikasi dari kasus tersebut?,
ginjal-2019,27,Pharmacology,bagaimanakah tatalaksana untuk pasien ini?,
ginjal-2019,28,Diagnostics,apa nama kelainan yang dirasakan pasien ini?,
ginjal-2019,29,Anatomy,"organ tersebut memiliki saluran yang bemuara pada ureter proksimal, yaitu?",
ginjal-2019,30,Pharmacology,apa tindakan awal yang harus dikerjakan pada pasien ini?,
ginjal-2019,31,Diagnostics,apa diagnosis pada pasien ini?,
ginjal-2019,32,Diagnostics,apa diagnosis yang paling mungkin untuk pasien ini?,
ginjal-2019,33,Anatomy,permukaan ureter sisi kanan tersebut berhubungan dengan?,
ginjal-2019,34,Anatomy,"berikut ini, mana urutan struktur anatomi yang benar dari prosedur insersi kateter urin?",
ginjal-2019,35,Diagnostics,kondisi mana yang ditunjukkan oleh gambaran laboratorium tersebut ?,
ginjal-2019,36,Physiology,patofisiologi pada wanita tersebut adalah ?,
ginjal-2019,37,Physiology,yang dapat meningkatkan sekresi renin adalah ?,
ginjal-2019,38,Pharmacology,pilihan terapi yang paling tepat untuk kasus ini adalah?,
ginjal-2019,39,Recall,apa pemeriksaan yang akan dianjurkan untuk memastikan berapa banyak protein yang keluar?,
ginjal-2019,40,Diagnostics,mana kelainan yang memungkinkan pada kasus tersebut?,
ginjal-2019,41,Diagnostics,"pada pemeriksaan rontgen, gambaran yang mungkin tampak terkait kondisi pasien adalah ?",
ginjal-2019,42,Diagnostics,apa kemungkinan penyebab kelainan tersebut?,
ginjal-2019,43,Physiology,apa penyebab terbanyak kasus ini?,
ginjal-2019,44,Diagnostics,pemeriksaan baku emas untuk menyokong diagnosis di atas adalah?,
ginjal-2019,45,Recall,najisnya dikategorikan sebagai?,
ginjal-2019,46,Diagnostics,apa diagnosis yang paling mungkin pada pasien ini?,
ginjal-2019,47,Recall,apa nama saluran yang lumennya ditunjuk dengan tanda panah?,
ginjal-2019,48,Diagnostics,anak tersebut diduga menderita sakit ?,
ginjal-2019,49,Diagnostics,bagaimanakah sumber sampel urin yang paling baik didapatkan pada kasus ini?,
ginjal-2019,50,Diagnostics,apa diagnosis yang paling mungkin untuk pasien ini?,
ginjal-2019,51,Diagnostics,apa diagnosis yang paling mungkin untuk pasien ini?,
ginjal-2019,52,Diagnostics,apa diagnosis pada pasien ini?,
ginjal-2019,53,Pharmacology,apa terapi untuk pasien ini?,
ginjal-2019,54,Diagnostics,pada sistitis akut yang disertai gejala hematuri adalah ?,
ginjal-2019,55,Diagnostics,makromolekul apa yang dimaksud?,
ginjal-2019,56,Pharmacology,mana dari pernyataan mengenai mekanisme kerja obat tersebut yang paling tepat?,
ginjal-2019,57,Pharmacology,obat analgesic apa yang merupakan pilihan untuk pasien ini ?,
ginjal-2019,58,Physiology,berikut ini mana pernyataan yang benar mengenai glandula bulbourethralis?,
ginjal-2019,59,Diagnostics,hasil nitrit positif di atas disebabkan oleh?,
ginjal-2019,60,Histology,parameter urinalisa mana yang dianggap patognomonik untuk isk atas ?,
ginjal-2019,61,Diagnostics,apa diagnosis yang paling tepat untuk pasien tersebut?,
ginjal-2019,62,Physiology,apa penyebab anemia pada pasien ini?,
ginjal-2019,63,Diagnostics,apa diagnosis pada pasien ini?,
ginjal-2019,64,Diagnostics,apa diagnosis tambahan pada pasien ini?,
ginjal-2019,65,Physiology,apa yang menyebabkan timbulnya keluhan pada pasien ini?,
ginjal-2019,66,Pharmacology,menurut anda pilihan antibiotik mana yang paling tepat diberikan?,
ginjal-2019,67,Physiology,seseorang yang melakukan exercise akan menyebabkan ?,
ginjal-2019,68,Physiology,apa kemungkinan penyebab poliuri pada pasien tersebut?,
ginjal-2019,69,Physiology,apa bakteri penyebab infeksi ini?,
ginjal-2019,70,Diagnostics,apa sampel pemeriksaan penunjang yang paling tepat diambil untuk digunakan dalam menentukan diagnosis pada pasien ini?,
ginjal-2019,71,Recall,apa nama celah yang ditunjuk oleh tanda panah pada gambar?,
ginjal-2019,72,Diagnostics,apa komplikasi yang mungkin terjadi pada kasus ini?,
ginjal-2019,73,Physiology,bagaimana mekanisme transpor protein yang ditunjukkan oleh gambar di atas?,
ginjal-2019,74,Diagnostics,apa kemungkinan penyebab anemia pada pasien tersebut?,
ginjal-2019,75,Recall,nyeri saat berkemih merupakan salah satu gejala karena ?,
ginjal-2019,76,Recall,hormon apa yang dimaksud?,
ginjal-2019,77,Diagnostics,apa diagnosis pasien ini?,
ginjal-2019,78,Diagnostics,apa diagnosis pasien ini?,
ginjal-2019,79,Anatomy,apa nama daerah yang ditunjuk pada jarak kedua panah tersebut?,
ginjal-2019,80,Diagnostics,bakteri apa penyebab infeksi saluran kemih pada pasien tersebut?,
ginjal-2019,81,Diagnostics,ektopia kandung kemin terjadi ?,
ginjal-2019,82,Diagnostics,pada ureter kembar terdapat manifestasi klinis berupa ?,
ginjal-2019,83,Pharmacology,bagaimanakah tatalaksana untuk pasen ini?,
ginjal-2019,84,Diagnostics,"kter menganjurkan pemeriksaan lanjutan untuk menilai derajat proteinuria untuk mengetahui kadar proteinuria pada pasien ini, tes apa yang sebaiknya dianjurkan ?",
ginjal-2019,85,Diagnostics,apa diagnosis yang paling mungkin untuk pasien ini?,
ginjal-2019,86,Physiology,apa etiologi terbanyak kelainan ini?,
ginjal-2019,87,Diagnostics,apa gambaran radiologi yang paling sesuai klinis pasien?,
ginjal-2019,88,Pharmacology,bagaimanakah mekanisme kerja obat tersebut ?,
ginjal-2019,89,Histology,sklerosis pada kurang dari 50% glomerulus di sebut?,
ginjal-2019,90,Diagnostics,apa tindakan yang akan dilakukan dokter berikutnya?,
ginjal-2019,91,Diagnostics,"selain pemeriksaan laboratorium di atas, mana pemeriksaan lain yang dapat digunakan untuk menilai fungsi ginjal dengan lebih akurat?",
ginjal-2019,92,Diagnostics,apa obat anti hipertensi yang sesuai dengan diagnosis pasien ini?,
ginjal-2019,93,Recall,apa nama kanal yang dimaksud?,
ginjal-2019,94,Diagnostics,apa diagnosis yang paling mungkin?,
ginjal-2019,95,Histology,apa kelainan histologi terbanyak pada kelainan tersebut?,
ginjal-2019,96,Anatomy,yang meningkatkan aliran darah di bagian korteks ginjal adalah ?,
ginjal-2019,97,Physiology,bagaimanakah patogenesis terjadinya proteinuria pada pasien tersebut?,
ginjal-2019,98,Physiology,apa etiologi terbanyak kelainan ini?,
ginjal-2019,99,Diagnostics,kelainan yang dapat timbul akibat penyakit tersebut adalah ?,
ginjal-2019,100,Recall,mana diantara kelompok kelainan dibawah ini yang dapat dideteksi dari bau urin yang khas?,
ginjal-2020,1,Anatomy,di mana lokasi tersering terjadinya penyumbatan secara anatomis pada kasus ini?,
ginjal-2020,2,Physiology,mikroorganisme penyebab terbanyak kasus ini adalah...,
ginjal-2020,3,Physiology,penyempitan fisiologis ureter tempat tersangkutnya batu tersebut didasarkan atas struktur...,
ginjal-2020,4,Recall,mana jenis tubulus di bawah ini yang mempunyai karakteristik khusus pada permukaan sel epitelnya memiliki mikrovili tebal (brush border)?,
ginjal-2020,5,Anatomy,"secara anatomis, organ ginjal yang mengalami kelainan terletak pada rongga...",
ginjal-2020,6,Diagnostics,kemungkinan diagnosis kelainan patologi renal yang terjadi pada anak tersebut adalah...,
ginjal-2020,7,Physiology,apa penyebab utama patofisiologi terjadinya bengkak/proteinuria tersebut?,
ginjal-2020,8,Diagnostics,interpretasi fungsi ginjal yang paling tepat adalah...,
ginjal-2020,9,Physiology,mana saluran/kanal transpor air spesifik yang diaktifkan oleh adh pada sel prinsipal duktus koligens tersebut?,
ginjal-2020,10,Histology,struktur sel glomerulus yang membentuk celah filtrasi (slit diaphragm) bersama membran basalis adalah...,
ginjal-2020,11,Histology,kelainan histopatologis ini sesuai dengan...,
ginjal-2020,12,Diagnostics,obstruksi kronis atau akut akibat pembesaran prostat tersebut paling sering memicu komplikasi langsung berupa...,
ginjal-2020,13,Anatomy,dari mana stroma mioepitel/otot polos pada kelenjar prostat berasal secara perkembangan jaringan?,
ginjal-2020,14,Diagnostics,pemeriksaan baku emas (gold standard) untuk menilai detail anatomi dan obstruksi ginjal tersebut adalah...,
ginjal-2020,15,Diagnostics,orium spesifik eksogen/endogen yang paling mendekati baku emas untuk pengukuran laju filtrasi glomerulus (lfg) murni tanpa disekresi atau direabsorpsi adalah...,
ginjal-2020,16,Recall,"menurut kaidah fikih dan hukum islam, urin manusia (baik dewasa maupun anak yang sudah mengonsumsi makanan selain asi) dikategorikan sebagai najis...",
ginjal-2020,17,Recall,pengategorian hukum najis pada urin bayi laki-laki berusia di bawah 2 tahun yang belum mengonsumsi makanan/minuman apapun selain asi tergolong sebagai...,
ginjal-2020,18,Pharmacology,tindakan penanganan awal yang paling tepat adalah...,
ginjal-2020,19,Diagnostics,kelainan metabolik yang terjadi pada pasien ini adalah...,
ginjal-2020,20,Diagnostics,metode pengambilan sampel urin yang paling baik (gold standard steril) untuk evaluasi kultur pada anak ini adalah...,
ginjal-2020,21,Diagnostics,diagnosis yang paling tepat adalah...,
ginjal-2020,22,Physiology,bagaimanakah respons fisiologis pembuluh darah ginjal yang normal saat terjadi peningkatan tekanan darah arterial sistemik?,
ginjal-2020,23,Diagnostics,apa diagnosis yang paling tepat?,
ginjal-2020,24,Anatomy,mana dari urutan aliran darah berikut yang benar ketika melewati mikrosirkulasi nefron ginjal?,
ginjal-2020,25,Anatomy,bagian struktur anatomi ginjal mana yang menjadi hilus (tempat keluar masuknya pembuluh darah renalis dan proksimal ureter)?,
ginjal-2020,26,Diagnostics,"berdasarkan klasifikasi esh/esc, kategorisasi tekanan darah pada pasien ini tergolong sebagai...",
ginjal-2020,27,Recall,temuan urinalisis mana yang patognomonik untuk infeksi saluran kemih (isk) atas / pielonefritis?,
ginjal-2020,28,Recall,pernyataan laboratorium dan patofisiologis berikut yang paling benar mengenai kriteria perjalanan pgk adalah...,
ginjal-2020,29,Anatomy,"pada anatomi pria, di mana letak otot tersebut?",
ginjal-2020,30,Diagnostics,diagnosis yang paling mungkin adalah...,
ginjal-2020,31,Physiology,penyebab poliuria pada pasien ini adalah...,
ginjal-2020,32,Pharmacology,golongan obat antihipertensi pilihan utama yang tepat untuk mencegah progresivitas kerusakan ginjal nefropati diabetik pada pasien ini adalah...,
ginjal-2020,33,Physiology,patogenesis utama yang mendasari terjadinya penumpukan cairan (edema) masif pada kasus ini adalah...,
ginjal-2020,34,Physiology,penyebab sensasi nyeri disuria pada infeksi kandung kemih (sistitis) berkaitan dengan rangsangan transmisi saraf pada...,
ginjal-2020,35,Diagnostics,kondisi infeksi ini dikategorikan sebagai...,
ginjal-2020,36,Physiology,bakteri penyebab isk yang paling mungkin adalah...,
ginjal-2020,37,Diagnostics,diagnosis yang paling mungkin adalah...,
ginjal-2020,38,Anatomy,urutan muara anatomi luar uretra yang pertama kali dimasuki oleh ujung kateter adalah...,
ginjal-2020,39,Recall,tindakan definitif yang tepat adalah...,
ginjal-2020,40,Pharmacology,mana golongan obat hipertensi yang kontraindikasi diberikan pada pasien ini?,
ginjal-2020,41,Pharmacology,terapi antibiotik lini pertama rawat jalan yang paling aman dan tepat untuk sistitis/isk tanpa komplikasi pada remaja wanita adalah...,
ginjal-2020,42,Pharmacology,bb 30 kg. terapi lini pertama berbasis panduan standar urologi/nefrologi anak indonesia (idai) untuk menginduksi remisi adalah pemberian glukokortikoid...,
ginjal-2020,43,Physiology,gangguan metabolisme mineral yang melandasi kondisi osteodistrofi renal tersebut adalah...,
ginjal-2020,44,Histology,"secara anatomi histologi, jaringan epitel khusus yang melapisi lumen vesika urinaria dan ureter yang memiliki kemampuan meregang sesuai volume cairan adalah...",
ginjal-2020,45,Recall,struktur pembungkus paling luar yang mengikat ginjal dan jaringan lemak perirenal ke dinding posterior abdomen adalah...,
ginjal-2020,46,Diagnostics,diagnosis yang paling tepat adalah...,
ginjal-2020,47,Anatomy,pembuluh darah percabangan langsung dari arteri interlobaris yang berjalan melengkung di sepanjang batas antara korteks dan medula ginjal adalah...,
ginjal-2020,48,Diagnostics,mikroorganisme yang paling sering terkait pembentukan batu struvit (magnesium amonium fosfat) ini adalah...,
ginjal-2020,49,Physiology,zat sisa metabolisme utama yang berasal dari katabolisme protein dan gugus asam amino adalah...,
ginjal-2020,50,Pharmacology,bagaimanakah mekanisme kerja utama obat kombinasi tersebut?,
ginjal-2020,51,Pharmacology,pilihan obat lini pertama yang bekerja cepat merelaksasi otot polos leher kandung kemih dan prostat untuk memperlancar aliran miksi adalah...,
ginjal-2020,52,Physiology,mana substansi yang diserap kembali (direabsorpsi) secara sempurna 100% pada tubulus kontortus proksimal dalam kondisi fisiologis normal?,
ginjal-2020,53,Physiology,mana zat/metabolit di bawah ini yang dapat menyebabkan perubahan warna urin menjadi merah kemerahan secara non-patologis akibat konsumsi obat anti-tuberkulosis?,
ginjal-2020,54,Diagnostics,diagnosis yang paling tepat adalah...,
ginjal-2020,55,Diagnostics,"ika pemeriksaan sedimen urin harus ditunda, zat pengawet urin yang paling baik untuk mempertahankan morfologi unsur organik (sel dan silinder) sedimen adalah...",
ginjal-2020,56,Diagnostics,diagnosis yang paling mungkin adalah...,
ginjal-2020,57,Diagnostics,mana interpretasi laboratorium yang paling tepat?,
ginjal-2020,58,Recall,"celah tempat masuk dan keluarnya pembuluh darah, saraf, serta ureter proksimal pada ginjal disebut...",
ginjal-2020,59,Physiology,salah satu dalil/alasan syar i yang melandasinya adalah...,
ginjal-2020,60,Physiology,zat/senyawa di bawah ini yang dapat menyebabkan perubahan warna urin menjadi merah kemerahan akibat konsumsi zat warna atau indikator kimia adalah...,
ginjal-2020,61,Physiology,nitrogenous waste hasil utama akhir perombakan dan metabolisme katabolisme asam amino/protein yang diekskresikan melalui urin adalah...,
ginjal-2020,62,Anatomy,"pada saluran uretra pria, letak spesifik otot ini berada di...",
ginjal-2020,63,Physiology,patogenesis utama yang memicu proteinuria masif dan edema pada pasien ini adalah...,
ginjal-2020,64,Anatomy,bagaimanakah respons kompensasi miogenik ginjal yang normal saat terjadi lonjakan tekanan darah arteri sistemik?,
ginjal-2020,65,Diagnostics,langkah awal pemeriksaan penunjang urinalisis yang paling penting untuk menegakkan diagnosis sindrom nefrotik adalah evaluasi...,
ginjal-2020,66,Anatomy,tempat masuknya vaskularisasi (arteri dan vena renalis) serta bagian proksimal pelvis renalis pada ginjal adalah...,
ginjal-2020,67,Diagnostics,interpretasi hasil laboratorium yang paling tepat adalah...,
ginjal-2020,68,Diagnostics,metode pengambilan sampel urin yang paling tepat dan praktis dilakukan pada anak yang sudah kooperatif/toilet-trained ini adalah...,
ginjal-2020,69,Physiology,etiologi bakteri penyebab terbanyak pada kasus ini adalah...,
ginjal-2020,70,Diagnostics,diagnosis yang paling mungkin adalah...,
ginjal-2020,71,Recall,kelainan/kerusakan utama pada kasus glomerulonefritis ini berlokasi di...,
ginjal-2020,72,Diagnostics,kelainan yang paling mungkin adalah...,
ginjal-2020,73,Histology,istilah histopatologi untuk keterlibatan seluruh rumbai glomerulus tersebut adalah...,
ginjal-2020,74,Physiology,patofisiologi kebocoran protein tersebut disebabkan oleh...,
ginjal-2020,75,Diagnostics,"pemeriksaan penunjang pencitraan lini pertama yang paling aman, cepat, dan non-invasif untuk menilai distensi kandung kemih dan volume urin sisa adalah...",
ginjal-2020,76,Diagnostics,diagnosis yang paling mungkin adalah...,
ginjal-2020,77,Diagnostics,diagnosis yang paling tepat adalah...,
ginjal-2020,78,Histology,amina basalis dan matriks glomerulus dibersihkan dari penumpukan makromolekul dan kompleks imun imunologis secara difagositosis secara terus menerus oleh sel...,
ginjal-2020,79,Anatomy,lokasi kerja target utama hormon aldosteron di ginjal berada pada...,
ginjal-2020,80,Physiology,klasifikasi etiologi penyebab gagal ginjal/gangguan ginjal pada pasien ini tergolong...,
ginjal-2020,81,Recall,"berdasarkan kriteria rifle / kdigo untuk acute kidney injury (aki), kondisi anuria/oliguria parah ini masuk dalam kriteria...",
ginjal-2020,82,Diagnostics,kelainan yang paling mungkin pada pasien tersebut adalah...,
ginjal-2020,83,Anatomy,lembaran jaringan ikat fascia yang terbuka/terbelah pada bagian medial ginjal sebagai jalan melintasnya pembuluh darah renalis dan pelvis renalis adalah...,
